Date,iShares MSCI World Small Cap UCITS ETF
2000-11,100
2000-12,100
2001-01,103.82576769252844
2001-02,101.28204408921253
2001-03,100.22552185877184
2001-04,107.60535007034507
2001-05,113.88348009144515
2001-06,113.60262936111197
2001-07,106.36299324986237
2001-08,101.44965640179102
2001-09,88.40760170813613
2001-10,95.23560945357055
2001-11,102.86018286656075
2001-12,106.51020037792581
2002-01,106.42613550949939
2002-02,105.32384202322558
2002-03,112.59120840727111
2002-04,110.77044900045968
2002-05,105.99938417879012
2002-06,94.55821191529458
2002-07,85.9164902272705
2002-08,85.06214677398332
2002-09,78.41078818062755
2002-10,79.30955064908048
2002-11,83.23923796217407
2002-12,75.1910749329519
2003-01,71.59383189201701
2003-02,70.5557193916321
2003-03,69.98048567303695
2003-04,75.56684900636665
2003-05,78.57028414817721
2003-06,83.92200368531121
2003-07,88.11295485400457
2003-08,96.9665692732094
2003-09,92.61773295517789
2003-10,101.02796329900214
2003-11,99.62717091070786
2003-12,98.56583262243154
2004-01,104.82075951842151
2004-02,106.66769732953247
2004-03,111.41148200786468
2004-04,108.80276144530636
2004-05,107.03207021066761
2004-06,112.1699609671391
2004-07,107.39860349838258
2004-08,106.60436069773968
2004-09,107.84421838700933
2004-10,108.11436354138038
2004-11,111.8195144939315
2004-12,113.61193462594515
2005-01,117.1869401747881
2005-02,118.93174796302111
2005-03,118.8304746070992
2005-04,114.2056630607697
2005-05,123.7295581498997
2005-06,129.8898375775092
2005-07,136.5811937134228
2005-08,136.7545454469273
2005-09,142.03129963158474
2005-10,137.47640116167125
2005-11,146.13610224285816
2005-12,151.75188065980095
2006-01,158.87503348525877
2006-02,160.79952277280967
2006-03,165.11834337190567
2006-04,163.57096784522483
2006-05,150.43586061408433
2006-06,149.891098986279
2006-07,145.05850419674638
2006-08,148.11995173150763
2006-09,150.85476976814394
2006-10,156.99853166774096
2006-11,156.23283781849452
2006-12,159.24035747557025
2007-01,164.8022837178504
2007-02,162.82465654535312
2007-03,165.55562955553287
2007-04,167.3492970976531
2007-05,173.58439553085265
2007-06,171.5811395687142
2007-07,163.39847931842786
2007-08,158.75361297316203
2007-09,156.63052565821394
2007-10,161.2134489064981
2007-11,145.82060894840092
2007-12,143.55750318596446
2008-01,130.82451884351315
2008-02,129.28930880580683
2008-03,122.7901996797741
2008-04,130.010636001099
2008-05,135.0097488810364
2008-06,122.11062249603866
2008-07,121.08514112627147
2008-08,128.19671407328502
2008-09,114.52635692054419
2008-10,99.33132422064485
2008-11,91.10374763391624
2008-12,88.35686736949955
2009-01,88.60453312966148
2009-02,80.44520425669894
2009-03,82.75316435444404
2009-04,96.69562572481338
2009-05,99.00521048122876
2009-06,99.88112033207
2009-07,108.61988339001736
2009-08,114.15952295626414
2009-09,117.82328120801674
2009-10,111.96280550242834
2009-11,112.90327394575758
2009-12,123.13511893783136
2010-01,123.93710805069048
2010-02,130.50420730142082
2010-03,141.54808688803817
2010-04,148.81875707626534
2010-05,145.55861241851755
2010-06,139.19631489734965
2010-07,141.27235026976035
2010-08,138.46443726489818
2010-09,143.4609012572317
2010-10,146.8640558035725
2010-11,157.35985337387947
2010-12,167.45557220629073
2011-01,164.8631714458849
2011-02,169.758636862099
2011-03,167.2781486406416
2011-04,165.98375823169002
2011-05,167.98578613530833
2011-06,163.5791634556316
2011-07,161.91327672062488
2011-08,146.5912009578354
2011-09,139.28381480519775
2011-10,150.1964273160216
2011-11,152.95800500313553
2011-12,157.3215437539546
2012-01,166.13554694389106
2012-02,170.2289193337065
2012-03,173.02290729433184
2012-04,173.6428529310396
2012-05,168.53992827795392
2012-06,172.0710237651373
2012-07,176.08817025791816
2012-08,177.1596467140885
2012-09,178.8657791561436
2012-10,176.94756447149723
2012-11,178.81197136553155
2012-12,181.64122091688
2013-01,187.15130493879838
2013-02,194.7233031681561
2013-03,206.57150724264855
2013-04,204.85174468864935
2013-05,208.04854962141724
2013-06,202.4542475401247
2013-07,212.296556899638
2013-08,208.8369488238622
2013-09,218.8290875752406
2013-10,223.28451441993218
2013-11,227.83657292609746
2013-12,230.20032727188965
2014-01,230.49418392261754
2014-02,237.3965016424533
2014-03,236.8146548156566
2014-04,231.8145150361652
2014-05,238.65456770241238
