Date,Xtrackers MSCI World Value Factor UCITS ETF 1C
2014-06,44601.57678064231
2014-07,45179.92236875662
2014-08,46053.49694030308
2014-09,46977.40697766517
2014-10,46540.715096620705
2014-11,47638.97578570567
2014-12,48297.811781616205
2015-01,50780.56945741537
2015-02,54473.87313824881
2015-03,56208.61721833512
2015-04,55634.0057694785
2015-05,57620.20034151558
2015-06,54949.483903117914
2015-07,56287.95238228548
2015-08,51128.16713812682
2015-09,48479.25889406561
2015-10,53332.45267277032
2015-11,54557.080271490646
2015-12,52259.43884445974
2016-01,47700.287701901885
2016-02,47278.65035706241
2016-03,48068.03206915797
2016-04,49608.14500188289
2016-05,50626.78496270128
2016-06,48887.87218172759
2016-07,51606.09250326363
2016-08,52513.90767860756
2016-09,52551.43258492005
2016-10,53767.036767107995
2016-11,56356.71937132413
2016-12,58612.450011271154
2017-01,58770.44018595367
2017-02,60827.7375177933
2017-03,60576.25159354748
2017-04,59709.83193079359
2017-05,58735.996995639354
2017-06,58405.62391874134
2017-07,58522.02316202331
2017-08,57864.17277054371
2017-09,59918.747926523225
2017-10,62291.87246430552
2017-11,62783.26051967626
2017-12,63143.89371582338
2018-01,64011.011589148016
2018-02,62888.79237389189
2018-03,60968.10826800722
2018-04,63484.64448346708
2018-05,63995.90488242968
2018-06,62931.18330908083
2018-07,64231.913871749464
2018-08,64100.52271187203
2018-09,65693.12427552935
2018-10,62320.64489681744
2018-11,62351.30301305055
2018-12,57132.73793365888
2019-01,61873.99811065487
2019-02,62836.656972822675
2019-03,63495.2666376922
2019-04,64732.74190806426
2019-05,59891.7668649887
2019-06,62729.66721277749
2019-07,63803.085612330215
2019-08,61810.90532041068
2019-09,65673.33164541933
2019-10,66613.72748200783
2019-11,68951.43578755096
2019-12,69614.95749486312
2020-01,68314.15617307647
2020-02,62364.02171685511
2020-03,52313.280229495205
2020-04,56487.47223627784
2020-05,56842.667436658274
2020-06,56913.6236255478
2020-07,52746.92481809029
2020-08,55209.06966625796
2020-09,54524.2890462559
2020-10,52693.89751028685
2020-11,60158.925535994
2020-12,61442.184304238974
2021-01,62919.62022131691
2021-02,66846.20806768723
2021-03,73062.21108928473
2021-04,71634.3572710659
2021-05,73258.47791516992
2021-06,74045.63068378108
2021-07,73576.67771410602
2021-08,74744.62786886173
2021-09,75340.11479096948
2021-10,75391.8149602039
2021-11,74721.20965372979
2021-12,80199.15910804771
2022-01,81414.66229137544
2022-02,79894.65455248972
2022-03,80894.78807669051
2022-04,80215.04242098021
