Date,iShares Core MSCI World UCITS ETF USD (Acc)
1978-11,100
1978-12,100
1979-01,104.10202196487187
1979-02,102.71609404365097
1979-03,107.10129047831653
1979-04,108.2577916286132
1979-05,107.67940548187256
1979-06,109.61204246087036
1979-07,106.59663014639278
1979-08,111.33295595524937
1979-09,112.72835762976261
1979-10,104.9072815672106
1979-11,107.82444278698513
1979-12,108.34780040967945
1980-01,113.86376329188846
1980-02,115.10508968609221
1980-03,108.30321550192504
1980-04,116.92029427984174
1980-05,117.50772145902177
1980-06,121.48331975237748
1980-07,123.80262501359294
1980-08,128.8783209305228
1980-09,132.5827579504154
1980-10,140.0355305318768
1980-11,151.15791775731077
1980-12,152.6844382868008
1981-01,148.85815642155305
1981-02,159.63356904600425
1981-03,165.6048034985341
1981-04,170.25164954013295
1981-05,177.2873800977319
1981-06,183.9614961773236
1981-07,186.53473423847473
1981-08,188.03084659446685
1981-09,166.18724731995562
1981-10,166.39385252669973
1981-11,177.02446744609477
1981-12,175.83677225212583
1982-01,176.092920064327
1982-02,171.10182247310607
1982-03,169.63028346888782
1982-04,180.88970043006455
1982-05,170.4262120224571
1982-06,172.36024236956038
1982-07,173.96776436338183
1982-08,187.9012804911419
1982-09,190.71510601988177
1982-10,206.4045363408123
1982-11,221.15191525824704
1982-12,221.73488944115667
1983-01,225.0335497422424
1983-02,234.14448688258275
1983-03,243.77338037369466
1983-04,265.1131468449407
1983-05,264.3253384317014
1983-06,281.15723809783645
1983-07,280.06600959506267
1983-08,290.88648508512154
1983-09,297.1553831860806
1983-10,289.01071039353843
1983-11,304.5971027100775
1983-12,316.50877380099524
1984-01,326.4967040000958
1984-02,311.45826278779475
1984-03,314.65885541981925
1984-04,319.22797337055687
1984-05,306.438768780757
1984-06,309.2105593451676
1984-07,309.78774660699577
1984-08,344.9073593555276
1984-09,360.0338315067693
1984-10,370.6988185910586
1984-11,359.8408357214062
1984-12,382.0632595305444
1985-01,413.18161237915876
1985-02,429.61270986427763
1985-03,445.7289098453457
1985-04,413.9362242180059
1985-05,438.43306121182684
1985-06,438.6565425803254
1985-07,426.04092678845575
1985-08,414.9517349146746
1985-09,424.9925444046318
1985-10,420.4995357464267
1985-11,435.57045940389116
1985-12,445.35453590839774
1986-01,442.75946848546545
1986-02,463.808870264048
1986-03,495.23292036059615
1986-04,511.65462457422507
1986-05,501.4098527064157
1986-06,523.756017887552
1986-07,512.6090474963559
1986-08,540.7954642514694
1986-09,515.3730072877192
1986-10,501.00908220100655
1986-11,527.6776107969043
1986-12,530.658015452796
1987-01,557.524691607238
1987-02,565.8444321955462
1987-03,600.0050789369217
1987-04,627.0109476667217
1987-05,620.3739506804499
1987-06,631.2234777646007
1987-07,653.2370627672259
1987-08,697.3140469203947
1987-09,667.3909859155488
1987-10,550.128883158488
1987-11,504.3868258222783
1987-12,510.3224572675269
1988-01,528.3414524351136
1988-02,575.2352669656134
1988-03,584.6390156275811
1988-04,588.5396391070841
1988-05,582.5162693676482
1988-06,603.38072662947
1988-07,645.764350440358
1988-08,624.0211849369883
1988-09,645.8211505729614
1988-10,671.8176581565366
1988-11,667.710148979029
1988-12,674.4875355866494
1989-01,726.6276874048554
1989-02,731.0370109147091
1989-03,731.2222876122461
1989-04,752.2711970446444
1989-05,765.3676532646683
1989-06,770.3967092482015
1989-07,820.0812452725954
1989-08,812.6241582957111
1989-09,848.39956003561
1989-10,789.2385432855768
1989-11,809.0102903971201
1989-12,800.6619790931212
1990-01,740.9151318143136
1990-02,699.7689306146659
1990-03,669.0479856894682
1990-04,650.9849269338174
1990-05,707.8179232550309
1990-06,707.5389438740758
1990-07,692.441713539066
1990-08,600.0146155547363
1990-09,537.6516607745867
1990-10,570.6383742201097
1990-11,550.1812188738085
1990-12,568.3622330322729
1991-01,590.6294276397579
1991-02,634.5798267584327
1991-03,670.3551170676557
1991-04,711.6184246109941
1991-05,737.4827245525595
1991-06,717.7636059428473
1991-07,752.6462026528901
1991-08,733.7461301853199
1991-09,732.2152165513767
1991-10,743.1071874464237
1991-11,684.1379760587733
1991-12,710.6394132545142
1992-01,702.3980996825533
1992-02,705.523313250216
1992-03,690.26605344354
1992-04,693.5823224801103
1992-05,707.3954660280691
1992-06,664.1389655391262
1992-07,634.166416252867
1992-08,633.2189595010444
1992-09,641.9222726146071
1992-10,650.5263124579423
1992-11,705.5667974230939
1992-12,710.8204107312155
1993-01,727.1419939939852
1993-02,762.929488908569
1993-03,811.1491167044406
1993-04,819.8701563550305
1993-05,840.833588635101
1993-06,858.1100832238285
1993-07,912.9325836708088
1993-08,962.0756658888449
1993-09,906.7431843267559
1993-10,942.6663917796877
1993-11,913.2220838998098
1993-12,957.4880994490483
1994-01,1034.4808178983117
1994-02,1017.1593872424087
1994-03,953.182731453364
1994-04,985.50675551571
1994-05,966.8088500433472
1994-06,948.4745958790483
1994-07,936.7237880068075
1994-08,966.0485683695696
1994-09,930.5909466701326
1994-10,938.7826683526207
1994-11,911.4328741632844
1994-12,939.1022058369209
1995-01,906.1122927332582
1995-02,909.2826748702231
1995-03,916.1006810294396
1995-04,929.9145143260653
1995-05,952.385271693841
1995-06,944.1727909085205
1995-07,979.9194398941214
1995-08,987.1149065946751
1995-09,1028.9296012645702
1995-10,996.9919607941448
1995-11,1033.8623438599811
1995-12,1080.9646489522245
1996-01,1113.8955167129625
1996-02,1127.1392577632907
1996-03,1145.1828521177783
1996-04,1182.123014399844
1996-05,1197.5149849626252
1996-06,1194.2501986274378
1996-07,1134.5540991441849
1996-08,1137.2167429859894
1996-09,1192.0077486754883
1996-10,1204.080562097933
1996-11,1255.2462681416791
1996-12,1262.4892338757188
1997-01,1312.4688440316227
1997-02,1385.4191382484755
1997-03,1373.7890417288615
1997-04,1426.425098747229
1997-05,1509.8478030852586
1997-06,1602.9567010166072
1997-07,1723.4192679582252
1997-08,1653.9703561970766
1997-09,1698.0721357771079
1997-10,1579.4724861938016
1997-11,1574.3245705462207
1997-12,1636.4964843478617
1998-01,1720.7847332341812
1998-02,1833.127996627788
1998-03,1917.550880872217
1998-04,1923.1404233985484
1998-05,1870.0727580489397
1998-06,1928.3192973497296
1998-07,1929.738631620849
1998-08,1665.5382742368631
1998-09,1615.91681333722
1998-10,1696.9068114123359
1998-11,1849.8331904730726
1998-12,1927.7956835226598
1999-01,2034.337856811273
1999-02,2045.9535171598975
1999-03,2185.863460602057
1999-04,2303.0663647413207
1999-05,2248.7618827069973
1999-06,2382.762456684172
1999-07,2294.2305356103275
1999-08,2316.308882898743
1999-09,2273.984635919938
1999-10,2440.643075999915
1999-11,2597.6997745155445
1999-12,2822.1137185346906
2000-01,2729.6510175795415
2000-02,2758.59608336442
2000-03,2998.861104761385
2000-04,3019.8718343253477
2000-05,2874.3031996621357
2000-06,2892.3340019533866
2000-07,2905.9839725132933
2000-08,3113.9457715227627
2000-09,2995.651541240051
2000-10,3067.1306890792125
2000-11,2792.2110241798982
2000-12,2647.9213682827985
2001-01,2702.3944139020396
2001-02,2485.90142489306
2001-03,2432.098883790278
2001-04,2599.120423837487
2001-05,2686.271883673529
2001-06,2602.041109173576
2001-07,2486.687054889847
2001-08,2263.200380983489
2001-09,2069.8017326369095
2001-10,2130.077551056037
2001-11,2292.575102241287
2001-12,2329.1378803856464
