Date,iShares MSCI World Quality Dividend UCITS ETF USD (Acc)
2010-04,357.5165609298906
2010-05,345.57576134410084
2010-06,341.4372779978034
2010-07,349.5723042831939
2010-08,354.20542355376
2010-09,357.36574109935896
2010-10,363.9053820136647
2010-11,368.6022102272808
2010-12,381.84148428624206
2011-01,379.0699693360451
2011-02,388.60264767779273
2011-03,380.7062232670541
2011-04,385.7194719784269
2011-05,393.4228928073517
2011-06,386.4814741182711
2011-07,384.4170549487177
2011-08,364.3574652385719
2011-09,365.31795412733055
2011-10,380.3945709970009
2011-11,389.9425654292364
2011-12,411.8348653313924
2012-01,406.29649624292
2012-02,415.1003802593717
2012-03,419.9476498224216
2012-04,423.2715755857989
2012-05,417.7192304945178
2012-06,439.1861026254728
2012-07,462.12475210341154
2012-08,456.3638995104129
2012-09,455.9228670435452
2012-10,452.00038362496855
2012-11,456.2540063106469
2012-12,455.8731647070129
2013-01,467.53387865126587
2013-02,484.0225249676334
2013-03,510.11421643561994
2013-04,522.2977316313454
2013-05,508.8759815811422
2013-06,493.80150036486697
2013-07,509.82142479187377
2013-08,499.0841078118341
2013-09,512.8885414520172
2013-10,528.3667804331697
2013-11,532.4130080551467
2013-12,533.9603683320846
2014-01,523.5522853655548
2014-02,541.5835005952581
2014-03,548.2859122435533
2014-04,561.6191515368466
2014-05,577.8440955019571
2014-06,584.2837457906197
2014-07,585.5632412303686
2014-08,602.6201704236406
2014-09,612.0437982068399
2014-10,612.7525715721656
2014-11,623.3234126758023
2014-12,624.0919514768007
2015-01,662.1758582272711
2015-02,693.8520415707463
2015-03,706.619595460666
2015-04,702.6207448991692
2015-05,713.3013362542625
2015-06,674.9624458788433
2015-07,700.4462843944367
2015-08,643.9493102076744
2015-09,628.3809553265428
2015-10,688.4262721226523
2015-11,706.5148718617571
2015-12,676.8619830387931
2016-01,651.3841477146669
2016-02,658.3844392336825
2016-03,672.5945546356215
2016-04,685.7607836790761
2016-05,701.9069038345929
2016-06,712.0312175575295
2016-07,728.6200509391042
2016-08,723.6500790391138
2016-09,727.1289274468978
2016-10,719.3716313133726
2016-11,739.6669817640825
2016-12,768.013663938281
2017-01,762.8485975384876
2017-02,798.0969657473347
2017-03,803.2164972238046
2017-04,791.3132128861434
2017-05,792.7718346619117
2017-06,778.1966403726776
2017-07,769.8386174317101
2017-08,765.0100089866304
2017-09,786.0461080444754
2017-10,800.1803155576042
2017-11,803.8800912605033
2017-12,801.4145025425121
2018-01,800.2579509165715
2018-02,775.9624159415531
2018-03,756.5144965756186
2018-04,778.3065984542199
2018-05,794.5159018699372
2018-06,799.7593327935306
2018-07,823.9627889143752
2018-08,830.7152733303644
2018-09,844.6014412135595
2018-10,824.4571307607445
2018-11,842.520693216815
2018-12,780.2368878157928
2019-01,822.0963680279806
2019-02,853.0305188230451
2019-03,878.7541400425944
2019-04,895.1379269381041
2019-05,859.6822726592645
2019-06,896.700711817893
2019-07,909.4757633559014
2019-08,904.380442553591
2019-09,948.2758444219024
2019-10,948.2703659261972
2019-11,977.6866578789623
2019-12,985.1309492526279
2020-01,974.0143524070955
2020-02,891.4281153864154
2020-03,791.2342012284064
2020-04,861.9855951709591
2020-05,860.1899487351061
2020-06,861.2726479117722
2020-07,834.5543844228059
2020-08,855.5256315075451
2020-09,850.6981834323096
2020-10,824.4083321267539
2020-11,899.8414716310641
2020-12,906.9702184110035
2021-01,905.3791799991436
2021-02,918.367481019539
2021-03,1008.9333519423532
2021-04,1000.6630729512036
2021-05,1019.9334561137989
2021-06,1038.3437938696
2021-07,1049.2891292676115
2021-08,1065.9311413799246
2021-09,1044.6742111271806
2021-10,1065.514579898869
2021-11,1058.8877663946273
2021-12,1143.5774016282007
2022-01,1153.0705371562751
2022-02,1133.7048867833414
2022-03,1171.0098964276694
2022-04,1192.409852827631
